"Question Number" "Answer Number" "Predict Rank" "Predict Proba" "Answer class"
Q388_R14 Q388_R14_C8 1 0.9974464343634524 false
Q388_R14 Q388_R14_C4 2 0.9974267934859994 true
Q388_R14 Q388_R14_C10 3 0.99447118701409 true
Q388_R14 Q388_R14_C7 4 0.9117597111078641 true
Q388_R14 Q388_R14_C6 5 0.875422579363312 false
Q388_R14 Q388_R14_C5 6 0.8532546989334207 true
Q388_R14 Q388_R14_C3 7 0.8349536338529907 false
Q388_R14 Q388_R14_C1 8 0.6972530665545987 true
Q388_R14 Q388_R14_C9 9 0.6310230332553921 false
Q388_R14 Q388_R14_C2 10 0.566782638984999 false
Q388_R21 Q388_R21_C9 1 0.9999999968704181 true
Q388_R21 Q388_R21_C5 2 0.9997949731724501 true
Q388_R21 Q388_R21_C8 3 0.9953633223182521 true
Q388_R21 Q388_R21_C2 4 0.9788288792939058 false
Q388_R21 Q388_R21_C3 5 0.8682739630531225 false
Q388_R21 Q388_R21_C10 6 0.8658976818386569 false
Q388_R21 Q388_R21_C4 7 0.6920302273374632 false
Q388_R21 Q388_R21_C7 8 0.6342296344145651 true
Q388_R21 Q388_R21_C1 9 0.5405925020703484 true
Q388_R21 Q388_R21_C6 10 0.5135050486100636 true
Q388_R23 Q388_R23_C10 1 0.9996758753432652 true
Q388_R23 Q388_R23_C3 2 0.9994650684037164 false
Q388_R23 Q388_R23_C5 3 0.9966128616089437 true
Q388_R23 Q388_R23_C1 4 0.9510072650095568 false
Q388_R23 Q388_R23_C9 5 0.9344603629983809 false
Q388_R23 Q388_R23_C6 6 0.931219371791138 false
Q388_R23 Q388_R23_C4 7 0.9148989247763121 false
Q388_R23 Q388_R23_C7 8 0.788036082620432 false
Q388_R23 Q388_R23_C8 9 0.7229350858883086 false
Q388_R23 Q388_R23_C2 10 0.5435986397062749 false
Q388_R28 Q388_R28_C6 1 0.9999752752288091 false
Q388_R28 Q388_R28_C5 2 0.9999076553827045 false
Q388_R28 Q388_R28_C2 3 0.9994348558052921 false
Q388_R28 Q388_R28_C9 4 0.998636573690652 true
Q388_R28 Q388_R28_C10 5 0.9977536611673801 false
Q388_R28 Q388_R28_C1 6 0.9966896324797629 false
Q388_R28 Q388_R28_C4 7 0.9951308880928713 false
Q388_R28 Q388_R28_C3 8 0.9905890649218307 false
Q388_R28 Q388_R28_C8 9 0.7487458543408871 false
Q388_R28 Q388_R28_C7 10 0.666605397967734 false
Q388_R31 Q388_R31_C9 1 0.9999851820042772 true
Q388_R31 Q388_R31_C5 2 0.9998656181740967 true
Q388_R31 Q388_R31_C6 3 0.9998656181740967 true
Q388_R31 Q388_R31_C4 4 0.9985824024965531 true
Q388_R31 Q388_R31_C7 5 0.9976938736786625 true
Q388_R31 Q388_R31_C1 6 0.9959107645168624 true
Q388_R31 Q388_R31_C10 7 0.9751505137543519 true
Q388_R31 Q388_R31_C3 8 0.9628879390157912 true
Q388_R31 Q388_R31_C8 9 0.9509337841446803 true
Q388_R31 Q388_R31_C2 10 0.8593796072201767 true
Q388_R42 Q388_R42_C3 1 0.9999999126116025 true
Q388_R42 Q388_R42_C2 2 0.9999993493065507 true
Q388_R42 Q388_R42_C1 3 0.9999937370433076 true
Q388_R42 Q388_R42_C6 4 0.9999852839821415 true
Q388_R42 Q388_R42_C4 5 0.9998704849339489 true
Q388_R42 Q388_R42_C9 6 0.9998088759732732 true
Q388_R42 Q388_R42_C10 7 0.9996459719104919 true
Q388_R42 Q388_R42_C5 8 0.999212874138902 true
Q388_R42 Q388_R42_C7 9 0.999076595652862 true
Q388_R42 Q388_R42_C8 10 0.9990022718303168 true
Q388_R45 Q388_R45_C2 1 0.9999999995410975 true
Q388_R45 Q388_R45_C10 2 0.9999999975645575 true
Q388_R45 Q388_R45_C7 3 0.9999994243289597 true
Q388_R45 Q388_R45_C4 4 0.9999979542179621 true
Q388_R45 Q388_R45_C3 5 0.999993821301872 true
Q388_R45 Q388_R45_C5 6 0.9999867531968798 true
Q388_R45 Q388_R45_C6 7 0.9999849651000425 true
Q388_R45 Q388_R45_C8 8 0.9999686121678545 true
Q388_R45 Q388_R45_C9 9 0.999937574402784 true
Q388_R45 Q388_R45_C1 10 0.9997045303546438 true
Q388_R48 Q388_R48_C1 1 0.9843222760599643 true
Q388_R48 Q388_R48_C7 2 0.9764226615424008 true
Q388_R48 Q388_R48_C2 3 0.9742095022868267 true
Q388_R48 Q388_R48_C5 4 0.96637278669913 false
Q388_R48 Q388_R48_C10 5 0.9517132236486772 false
Q388_R48 Q388_R48_C6 6 0.8311996738734277 false
Q388_R48 Q388_R48_C3 7 0.8197533320762826 true
Q388_R48 Q388_R48_C8 8 0.7759549750001005 false
Q388_R48 Q388_R48_C9 9 0.587951547187399 true
Q388_R48 Q388_R48_C4 10 0.565117961611503 false
Q389_R25 Q389_R25_C7 1 0.9999999090976225 false
Q389_R25 Q389_R25_C8 2 0.9999998166796445 false
Q389_R25 Q389_R25_C4 3 0.9999380153424964 false
Q389_R25 Q389_R25_C9 4 0.9999346194206435 false
Q389_R25 Q389_R25_C6 5 0.9995674475391123 false
Q389_R25 Q389_R25_C5 6 0.9989241619185962 false
Q389_R25 Q389_R25_C2 7 0.998738381094009 false
Q389_R25 Q389_R25_C1 8 0.9981802081768782 false
Q389_R25 Q389_R25_C10 9 0.997990466523612 false
Q389_R25 Q389_R25_C3 10 0.9213986888907983 true
Q389_R38 Q389_R38_C7 1 0.9999473208007222 false
Q389_R38 Q389_R38_C5 2 0.9999457405677663 false
Q389_R38 Q389_R38_C2 3 0.9999369085175128 false
Q389_R38 Q389_R38_C10 4 0.9999329412667373 false
Q389_R38 Q389_R38_C3 5 0.9998996539683852 false
Q389_R38 Q389_R38_C8 6 0.9997761959854783 false
Q389_R38 Q389_R38_C1 7 0.999765898675379 false
Q389_R38 Q389_R38_C9 8 0.9997524924788425 true
Q389_R38 Q389_R38_C4 9 0.9997168611958233 false
Q389_R38 Q389_R38_C6 10 0.5696034804386001 true
Q389_R39 Q389_R39_C6 1 0.9999999999998627 false
Q389_R39 Q389_R39_C3 2 0.9999999999825707 false
Q389_R39 Q389_R39_C9 3 0.999999996274628 false
Q389_R39 Q389_R39_C1 4 0.999999992295846 false
Q389_R39 Q389_R39_C5 5 0.9999999526089012 false
Q389_R39 Q389_R39_C7 6 0.9999998364138715 false
Q389_R39 Q389_R39_C10 7 0.9999997567421103 false
Q389_R39 Q389_R39_C8 8 0.9999994725476683 false
Q389_R39 Q389_R39_C2 9 0.9999906340558479 false
Q389_R39 Q389_R39_C4 10 0.551388225034664 false
Q389_R7 Q389_R7_C9 1 0.9999938024661088 true
Q389_R7 Q389_R7_C5 2 0.9897094449106073 true
Q389_R7 Q389_R7_C8 3 0.9544486296368273 true
Q389_R7 Q389_R7_C7 4 0.9459082352782711 true
Q389_R7 Q389_R7_C3 5 0.9400920330491079 true
Q389_R7 Q389_R7_C10 6 0.908845001165872 true
Q389_R7 Q389_R7_C4 7 0.8532866025699332 true
Q389_R7 Q389_R7_C1 8 0.7965849765084579 false
Q389_R7 Q389_R7_C6 9 0.7870206563473294 true
Q389_R7 Q389_R7_C2 10 0.7467729899072518 true
Q390_R16 Q390_R16_C5 1 0.9999981359884047 true
Q390_R16 Q390_R16_C7 2 0.9999980381730628 true
Q390_R16 Q390_R16_C4 3 0.9999974688180602 true
Q390_R16 Q390_R16_C3 4 0.9999944902547382 true
Q390_R16 Q390_R16_C6 5 0.999993440480915 true
Q390_R16 Q390_R16_C1 6 0.9998501137420354 true
Q390_R16 Q390_R16_C2 7 0.9950789155394867 true
Q390_R16 Q390_R16_C8 8 0.9554106120280347 true
Q390_R16 Q390_R16_C10 9 0.9283849826504876 false
Q390_R16 Q390_R16_C9 10 0.5506506320194897 false
Q390_R33 Q390_R33_C7 1 0.9998291096682322 false
Q390_R33 Q390_R33_C8 2 0.9996281018054419 false
Q390_R33 Q390_R33_C5 3 0.9990370734991293 false
Q390_R33 Q390_R33_C9 4 0.9988890200257033 false
Q390_R33 Q390_R33_C3 5 0.9984476742902041 false
Q390_R33 Q390_R33_C10 6 0.9948641493343482 false
Q390_R33 Q390_R33_C6 7 0.9931046382527838 false
Q390_R33 Q390_R33_C2 8 0.9872228128970791 false
Q390_R33 Q390_R33_C1 9 0.980148462295495 false
Q390_R33 Q390_R33_C4 10 0.9156688027685067 false
Q390_R39 Q390_R39_C2 1 0.9999897621761327 true
Q390_R39 Q390_R39_C8 2 0.9998475200440377 true
Q390_R39 Q390_R39_C9 3 0.9984165437976511 false
Q390_R39 Q390_R39_C7 4 0.9979728627479961 false
Q390_R39 Q390_R39_C4 5 0.9875526339238375 false
Q390_R39 Q390_R39_C5 6 0.9856895019716428 false
Q390_R39 Q390_R39_C1 7 0.9121805329489239 false
Q390_R39 Q390_R39_C10 8 0.887255553940512 true
Q390_R39 Q390_R39_C6 9 0.6829787419311432 false
Q390_R39 Q390_R39_C3 10 0.5403472144260331 false
Q390_R69 Q390_R69_C7 1 0.9999999999999916 true
Q390_R69 Q390_R69_C3 2 0.9997441596138996 false
Q390_R69 Q390_R69_C9 3 0.9979077041869161 false
Q390_R69 Q390_R69_C2 4 0.9957721867092546 true
Q390_R69 Q390_R69_C5 5 0.9944656649262987 false
Q390_R69 Q390_R69_C4 6 0.9346635955638893 false
Q390_R69 Q390_R69_C6 7 0.8922979094870807 false
Q390_R69 Q390_R69_C10 8 0.8813339952812336 false
Q390_R69 Q390_R69_C1 9 0.8732908141783792 true
Q390_R69 Q390_R69_C8 10 0.7694527963177967 false
Q391_R23 Q391_R23_C8 1 0.9999999349322133 true
Q391_R23 Q391_R23_C9 2 0.9999999349322133 true
Q391_R23 Q391_R23_C10 3 0.9999999349322133 true
Q391_R23 Q391_R23_C7 4 0.9999898424184182 true
Q391_R23 Q391_R23_C3 5 0.9999866420630679 true
Q391_R23 Q391_R23_C2 6 0.9999751865811881 true
Q391_R23 Q391_R23_C4 7 0.9999748147538539 true
Q391_R23 Q391_R23_C6 8 0.9901007756887396 true
Q391_R23 Q391_R23_C1 9 0.762750972676967 false
Q391_R23 Q391_R23_C5 10 0.5869761866017505 true
Q391_R31 Q391_R31_C8 1 0.9999999999999987 true
Q391_R31 Q391_R31_C9 2 0.9999975249957244 true
Q391_R31 Q391_R31_C2 3 0.9999886270062305 true
Q391_R31 Q391_R31_C3 4 0.9997985855872632 true
Q391_R31 Q391_R31_C5 5 0.9995575761772165 true
Q391_R31 Q391_R31_C7 6 0.9982377816875496 true
Q391_R31 Q391_R31_C10 7 0.9982205817990415 true
Q391_R31 Q391_R31_C4 8 0.9982184109717095 true
Q391_R31 Q391_R31_C6 9 0.9195748251394272 true
Q391_R31 Q391_R31_C1 10 0.9053451537256911 true
Q392_R18 Q392_R18_C8 1 0.9873436828169032 true
Q392_R18 Q392_R18_C2 2 0.9650733582033432 false
Q392_R18 Q392_R18_C7 3 0.9618504133824425 true
Q392_R18 Q392_R18_C6 4 0.9024116316952292 false
Q392_R18 Q392_R18_C4 5 0.7864893270449863 true
Q392_R18 Q392_R18_C5 6 0.7864893270449863 true
Q392_R18 Q392_R18_C9 7 0.6408971906412801 false
Q392_R18 Q392_R18_C10 8 0.5575775362883049 false
Q392_R18 Q392_R18_C1 9 0.5421964749871662 true
Q392_R18 Q392_R18_C3 10 0.5013635876659492 true
Q392_R20 Q392_R20_C8 1 0.9999923700477212 true
Q392_R20 Q392_R20_C9 2 0.9999888060733712 false
Q392_R20 Q392_R20_C6 3 0.9997916209127944 false
Q392_R20 Q392_R20_C2 4 0.9978533972138458 false
Q392_R20 Q392_R20_C10 5 0.9977627088730342 false
Q392_R20 Q392_R20_C1 6 0.9967633636047084 true
Q392_R20 Q392_R20_C7 7 0.9940205889578927 false
Q392_R20 Q392_R20_C3 8 0.9923628780825645 false
Q392_R20 Q392_R20_C4 9 0.9872890715393653 true
Q392_R20 Q392_R20_C5 10 0.8816525594444719 false
Q392_R3 Q392_R3_C3 1 0.995874087738971 false
Q392_R3 Q392_R3_C6 2 0.9898546601735955 false
Q392_R3 Q392_R3_C2 3 0.9866873017899961 false
Q392_R3 Q392_R3_C5 4 0.9822551835680339 false
Q392_R3 Q392_R3_C8 5 0.9762876446961005 false
Q392_R3 Q392_R3_C9 6 0.9229759547792198 false
Q392_R3 Q392_R3_C1 7 0.8999267324666855 true
Q392_R3 Q392_R3_C4 8 0.7097036369514177 true
Q392_R3 Q392_R3_C7 9 0.696326599892159 true
Q392_R3 Q392_R3_C10 10 0.6546715398687961 true
Q392_R33 Q392_R33_C1 1 0.9999895201853293 false
Q392_R33 Q392_R33_C9 2 0.9999648876715436 false
Q392_R33 Q392_R33_C3 3 0.9995664294103823 false
Q392_R33 Q392_R33_C5 4 0.9986541110959914 false
Q392_R33 Q392_R33_C8 5 0.9982651384800125 false
Q392_R33 Q392_R33_C6 6 0.9976388545448269 false
Q392_R33 Q392_R33_C10 7 0.9897808074030875 false
Q392_R33 Q392_R33_C4 8 0.9884989670262537 true
Q392_R33 Q392_R33_C7 9 0.9601078675482154 false
Q392_R33 Q392_R33_C2 10 0.5186559692020667 false
Q392_R40 Q392_R40_C4 1 0.9999749162906431 true
Q392_R40 Q392_R40_C9 2 0.9957607633294742 true
Q392_R40 Q392_R40_C3 3 0.9893414042691026 true
Q392_R40 Q392_R40_C7 4 0.9689411554281069 true
Q392_R40 Q392_R40_C6 5 0.9289560472229303 true
Q392_R40 Q392_R40_C8 6 0.8731890786853509 false
Q392_R40 Q392_R40_C10 7 0.8024909365968866 true
Q392_R40 Q392_R40_C1 8 0.7986604245244117 true
Q392_R40 Q392_R40_C2 9 0.7194406870121854 false
Q392_R40 Q392_R40_C5 10 0.6332282119448565 true
Q393_R16 Q393_R16_C9 1 0.9997909921236419 false
Q393_R16 Q393_R16_C6 2 0.9993983490818913 false
Q393_R16 Q393_R16_C4 3 0.9975773638914269 false
Q393_R16 Q393_R16_C1 4 0.9873601069012026 false
Q393_R16 Q393_R16_C7 5 0.983443999563079 false
Q393_R16 Q393_R16_C10 6 0.983443999563079 false
Q393_R16 Q393_R16_C3 7 0.9832871363812411 false
Q393_R16 Q393_R16_C5 8 0.9592798789249514 false
Q393_R16 Q393_R16_C2 9 0.7178679026052519 true
Q393_R16 Q393_R16_C8 10 0.508906003317237 true
