"Question Number" "Answer Number" "Predict Rank" "Predict Proba" "Answer class"
Q388_R14 Q388_R14_C7 1 0.999592096724437 false
Q388_R14 Q388_R14_C2 2 0.9982572370898405 false
Q388_R14 Q388_R14_C1 3 0.9858843140874453 false
Q388_R14 Q388_R14_C10 4 0.9698785769902192 false
Q388_R14 Q388_R14_C9 5 0.9555250518668176 true
Q388_R14 Q388_R14_C4 6 0.9472578664346899 false
Q388_R14 Q388_R14_C5 7 0.9299841688053949 false
Q388_R14 Q388_R14_C3 8 0.8343051570428484 false
Q388_R14 Q388_R14_C8 9 0.8244918123606773 false
Q388_R14 Q388_R14_C6 10 0.798004579875571 false
Q388_R21 Q388_R21_C4 1 0.999996921355879 false
Q388_R21 Q388_R21_C9 2 0.9999918074461107 false
Q388_R21 Q388_R21_C3 3 0.9989405563782611 false
Q388_R21 Q388_R21_C7 4 0.996687033866284 false
Q388_R21 Q388_R21_C10 5 0.9939812449849605 false
Q388_R21 Q388_R21_C6 6 0.9827423431289909 false
Q388_R21 Q388_R21_C1 7 0.9227073444041165 false
Q388_R21 Q388_R21_C5 8 0.8619202575795586 false
Q388_R21 Q388_R21_C8 9 0.8383329685809779 false
Q388_R21 Q388_R21_C2 10 0.5209082511807553 false
Q388_R23 Q388_R23_C5 1 0.9999944487407905 false
Q388_R23 Q388_R23_C4 2 0.9974361610132259 false
Q388_R23 Q388_R23_C7 3 0.9960164555624079 false
Q388_R23 Q388_R23_C3 4 0.9936141649625461 false
Q388_R23 Q388_R23_C1 5 0.9927640190450587 false
Q388_R23 Q388_R23_C10 6 0.9469445705447497 false
Q388_R23 Q388_R23_C6 7 0.9067893563460457 false
Q388_R23 Q388_R23_C8 8 0.8890875318107637 false
Q388_R23 Q388_R23_C2 9 0.8361729013185377 true
Q388_R23 Q388_R23_C9 10 0.7734503743167385 false
Q388_R28 Q388_R28_C7 1 0.999977187981537 true
Q388_R28 Q388_R28_C1 2 0.9999375656865636 true
Q388_R28 Q388_R28_C9 3 0.9999250136629698 true
Q388_R28 Q388_R28_C5 4 0.998665985562186 false
Q388_R28 Q388_R28_C2 5 0.9931508346218 false
Q388_R28 Q388_R28_C6 6 0.9920429927911527 true
Q388_R28 Q388_R28_C4 7 0.9611400406173665 true
Q388_R28 Q388_R28_C3 8 0.9302728890890498 true
Q388_R28 Q388_R28_C8 9 0.8776863462132305 false
Q388_R28 Q388_R28_C10 10 0.8390379428388449 true
Q388_R31 Q388_R31_C1 1 0.9999993974173204 false
Q388_R31 Q388_R31_C7 2 0.9965106940676768 false
Q388_R31 Q388_R31_C4 3 0.9944940634633785 false
Q388_R31 Q388_R31_C3 4 0.988307365243792 false
Q388_R31 Q388_R31_C9 5 0.9594442012155581 false
Q388_R31 Q388_R31_C10 6 0.9270753253893472 false
Q388_R31 Q388_R31_C8 7 0.9100293291587126 false
Q388_R31 Q388_R31_C2 8 0.8228783535384295 false
Q388_R31 Q388_R31_C5 9 0.6622180877320063 false
Q388_R31 Q388_R31_C6 10 0.6622180877320063 false
Q388_R42 Q388_R42_C3 1 0.9970495593374071 false
Q388_R42 Q388_R42_C6 2 0.9952667007119264 false
Q388_R42 Q388_R42_C5 3 0.99200423853453 false
Q388_R42 Q388_R42_C1 4 0.96725580406377 false
Q388_R42 Q388_R42_C8 5 0.9421155863110472 false
Q388_R42 Q388_R42_C4 6 0.9108860158654284 false
Q388_R42 Q388_R42_C7 7 0.8813227548382837 false
Q388_R42 Q388_R42_C9 8 0.7996533721877277 true
Q388_R42 Q388_R42_C10 9 0.6093390443314517 false
Q388_R42 Q388_R42_C2 10 0.5774496215106716 false
Q388_R45 Q388_R45_C10 1 0.9974939890495006 true
Q388_R45 Q388_R45_C2 2 0.9512427865058477 true
Q388_R45 Q388_R45_C6 3 0.9445726520792993 false
Q388_R45 Q388_R45_C1 4 0.9331234147221883 true
Q388_R45 Q388_R45_C7 5 0.8492609874338586 true
Q388_R45 Q388_R45_C5 6 0.7936118600727629 false
Q388_R45 Q388_R45_C9 7 0.7559275024522019 false
Q388_R45 Q388_R45_C8 8 0.7019462801439653 false
Q388_R45 Q388_R45_C3 9 0.6627215551810106 false
Q388_R45 Q388_R45_C4 10 0.5424226311550782 true
Q388_R48 Q388_R48_C5 1 0.9999339277122972 false
Q388_R48 Q388_R48_C3 2 0.9997563263157635 false
Q388_R48 Q388_R48_C4 3 0.9993804009925663 true
Q388_R48 Q388_R48_C1 4 0.9988055159451728 false
Q388_R48 Q388_R48_C8 5 0.9968491265884525 true
Q388_R48 Q388_R48_C7 6 0.9876886776145029 false
Q388_R48 Q388_R48_C10 7 0.9678382634199322 false
Q388_R48 Q388_R48_C9 8 0.8427641615614592 false
Q388_R48 Q388_R48_C2 9 0.7345941048471474 false
Q388_R48 Q388_R48_C6 10 0.5338155888219117 false
Q389_R25 Q389_R25_C3 1 0.9999992255360615 true
Q389_R25 Q389_R25_C7 2 0.9999968495707975 true
Q389_R25 Q389_R25_C8 3 0.9999967126937628 true
Q389_R25 Q389_R25_C1 4 0.9999922751276417 true
Q389_R25 Q389_R25_C5 5 0.9999877035262202 true
Q389_R25 Q389_R25_C4 6 0.9999508793914997 true
Q389_R25 Q389_R25_C10 7 0.9999183416623646 true
Q389_R25 Q389_R25_C2 8 0.9998558345941654 true
Q389_R25 Q389_R25_C9 9 0.9995526205771091 true
Q389_R25 Q389_R25_C6 10 0.9281647407326568 true
Q389_R38 Q389_R38_C9 1 0.999976946890792 false
Q389_R38 Q389_R38_C3 2 0.998881053031907 true
Q389_R38 Q389_R38_C7 3 0.9972431297710164 false
Q389_R38 Q389_R38_C1 4 0.9943481935551586 false
Q389_R38 Q389_R38_C2 5 0.9934688132635768 false
Q389_R38 Q389_R38_C6 6 0.9817593204504915 true
Q389_R38 Q389_R38_C10 7 0.8833073923624102 false
Q389_R38 Q389_R38_C5 8 0.871484621126946 true
Q389_R38 Q389_R38_C8 9 0.6713614679367406 false
Q389_R38 Q389_R38_C4 10 0.5035074247238946 true
Q389_R39 Q389_R39_C5 1 0.9999976284464965 true
Q389_R39 Q389_R39_C4 2 0.9990927916370694 false
Q389_R39 Q389_R39_C6 3 0.9984530913820289 true
Q389_R39 Q389_R39_C1 4 0.9964329099434496 false
Q389_R39 Q389_R39_C3 5 0.9920219375058011 false
Q389_R39 Q389_R39_C10 6 0.961725993977479 false
Q389_R39 Q389_R39_C2 7 0.9543317702280889 true
Q389_R39 Q389_R39_C7 8 0.9474901529072087 false
Q389_R39 Q389_R39_C9 9 0.8817465774004419 true
Q389_R39 Q389_R39_C8 10 0.7523493488101192 true
Q389_R7 Q389_R7_C9 1 0.999922013685009 true
Q389_R7 Q389_R7_C2 2 0.9576149024290329 false
Q389_R7 Q389_R7_C4 3 0.9001400401261737 false
Q389_R7 Q389_R7_C6 4 0.898651159318913 false
Q389_R7 Q389_R7_C8 5 0.8963542946461733 false
Q389_R7 Q389_R7_C1 6 0.8581982754103139 false
Q389_R7 Q389_R7_C5 7 0.8221772873653915 true
Q389_R7 Q389_R7_C3 8 0.8218050652622311 true
Q389_R7 Q389_R7_C7 9 0.7621485287412393 false
Q389_R7 Q389_R7_C10 10 0.6872214043779779 false
Q390_R16 Q390_R16_C10 1 0.9999991867726651 true
Q390_R16 Q390_R16_C6 2 0.9999978120873362 true
Q390_R16 Q390_R16_C5 3 0.9999901281899746 true
Q390_R16 Q390_R16_C8 4 0.999988671131701 true
Q390_R16 Q390_R16_C3 5 0.9999579402640457 true
Q390_R16 Q390_R16_C4 6 0.9999435874934159 true
Q390_R16 Q390_R16_C2 7 0.9998743254998679 true
Q390_R16 Q390_R16_C7 8 0.9987762271197098 true
Q390_R16 Q390_R16_C1 9 0.9589396679414938 true
Q390_R16 Q390_R16_C9 10 0.9554855191297303 true
